"current_path","filename","new_path","target_abs","source_exists","target_exists","target_dir_exists","lint_issues","action_suggested"
"D:\Work\Coding\Trading\indicators/kv/EZ-01.pine","EZ-01.pine","indicators/key_level/archive/ezz_series/EZ-01.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZ-01.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZ-02.pine","EZ-02.pine","indicators/key_level/archive/ezz_series/EZ-02.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZ-02.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZ-01.pine","EZZ-01.pine","indicators/key_level/archive/ezz_series/EZZ-01.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-01.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZ-02.pine","EZZ-02.pine","indicators/key_level/archive/ezz_series/EZZ-02.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-02.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZ-03.pine","EZZ-03.pine","indicators/key_level/archive/ezz_series/EZZ-03.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-03.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZ-04.pine","EZZ-04.pine","indicators/key_level/archive/ezz_series/EZZ-04.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-04.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZ-05.pine","EZZ-05.pine","indicators/key_level/archive/ezz_series/EZZ-05.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-05.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZ-06.pine","EZZ-06.pine","indicators/key_level/archive/ezz_series/EZZ-06.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-06.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZ-07.pine","EZZ-07.pine","indicators/key_level/archive/ezz_series/EZZ-07.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-07.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZ-08.pine","EZZ-08.pine","indicators/key_level/archive/ezz_series/EZZ-08.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-08.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZII.pine","EZZII.pine","indicators/key_level/archive/EZZII_Gemini_Flip_copy.pine","d:\Work\Coding\Trading\indicators\key_level\archive\EZZII_Gemini_Flip_copy.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/EZZY.PINE","EZZY.PINE","indicators/key_level/EZZ_Gemini_Flip.pine","d:\Work\Coding\Trading\indicators\key_level\EZZ_Gemini_Flip.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kvs/KVS 30.pine","KVS 30.pine","indicators/key_level/archive/KVS_30.pine","d:\Work\Coding\Trading\indicators\key_level\archive\KVS_30.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/Leviathan.pine","Leviathan.pine","indicators/composite/Leviathan.pine","d:\Work\Coding\Trading\indicators\composite\Leviathan.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-01.pine","PI-01.pine","indicators/vsa/pi_family/core_evolution/PI-01.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-01.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-02.pine","PI-02.pine","indicators/vsa/pi_family/core_evolution/PI-02.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-02.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-06.pine","PI-06.pine","indicators/vsa/pi_family/core_evolution/PI-06.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-06.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-07.pine","PI-07.pine","indicators/vsa/pi_family/core_evolution/PI-07.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-07.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-08.pine","PI-08.pine","indicators/vsa/pi_family/core_evolution/PI-08.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-08.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-09.pine","PI-09.pine","indicators/vsa/pi_family/core_evolution/PI-09.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-09.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-10.pine","PI-10.pine","indicators/vsa/pi_family/core_evolution/PI-10.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-10.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-11.pine","PI-11.pine","indicators/vsa/pi_family/core_evolution/PI-11.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-11.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-12.pine","PI-12.pine","indicators/vsa/pi_family/core_evolution/PI-12.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-12.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-13.pine","PI-13.pine","indicators/vsa/pi_family/core_evolution/PI-13.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-13.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-14.pine","PI-14.pine","indicators/vsa/pi_family/core_evolution/PI-14.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-14.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-15.pine","PI-15.pine","indicators/vsa/pi_family/core_evolution/PI-15.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-15.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-16.pine","PI-16.pine","indicators/vsa/pi_family/core_evolution/PI-16.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-16.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\production/PI-03.pine","PI-03.pine","indicators/vsa/pi_family/core_evolution/PI-03.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-03.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\production/PI-04.pine","PI-04.pine","indicators/vsa/pi_family/core_evolution/PI-04.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-04.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\production/PI-05.pine","PI-05.pine","indicators/vsa/pi_family/core_evolution/PI-05.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-05.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\production/PI-17.pine","PI-17.pine","indicators/vsa/pi_family/core_evolution/PI-17.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-17.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PI-18.pine","PI-18.pine","indicators/vsa/pi_family/core_evolution/PI-18.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-18.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PICE-01.pine","PICE-01.pine","indicators/vsa/pi_family/confluence_engine/PICE-01.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-01.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PICE-02.pine","PICE-02.pine","indicators/vsa/pi_family/confluence_engine/PICE-02.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-02.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PICE-03.pine","PICE-03.pine","indicators/vsa/pi_family/confluence_engine/PICE-03.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-03.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/other/PICE-04.pine","PICE-04.pine","indicators/vsa/pi_family/confluence_engine/PICE-04.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-04.pine","True","False","True","","move_candidate"
