"filename","path","syntax_errors","sr_flags","ready_for_product","notes"
"WSH Velo.pine","D:\work\coding\trading\WSH Velo.pine","paren-mismatch(396/489);bracket-mismatch(65/67);double-quote-odd(299)","alertcondition;request.security","no","syntax:paren-mismatch(396/489)|bracket-mismatch(65/67)|double-quote-odd(299) ; sr:alertcondition|request.security"
"BETTE-01.pine","D:\work\coding\trading\indicators\cvd\BETTE-01.pine","","request.security;pine-v6","no","sr:request.security|pine-v6"
"BETTE-02.pine","D:\work\coding\trading\indicators\cvd\BETTE-02.pine","","alertcondition;request.security;pine-v6","no","sr:alertcondition|request.security|pine-v6"
"BETTE-03.pine","D:\work\coding\trading\indicators\cvd\BETTE-03.pine","single-quote-odd(47)","alertcondition;pine-v6","no","sr:alertcondition|pine-v6"
"BETTE-04.pine","D:\work\coding\trading\indicators\cvd\BETTE-04.pine","","alertcondition;request.security;pine-v6","no","sr:alertcondition|request.security|pine-v6"
"EZ-01.pine","D:\work\coding\trading\indicators\kv\EZ-01.pine","","alertcondition","yes",""
"EZ-02.pine","D:\work\coding\trading\indicators\kv\EZ-02.pine","suspicious-ellipsis","alertcondition;request.security","no","sr:alertcondition|request.security"
"EZZ-01.pine","D:\work\coding\trading\indicators\kv\EZZ-01.pine","suspicious-ellipsis","alertcondition;request.security","no","sr:alertcondition|request.security"
"EZZ-02.pine","D:\work\coding\trading\indicators\kv\EZZ-02.pine","","request.security","yes",""
"EZZ-03.pine","D:\work\coding\trading\indicators\kv\EZZ-03.pine","","request.security","yes",""
"EZZ-04.pine","D:\work\coding\trading\indicators\kv\EZZ-04.pine","","request.security","yes",""
"EZZ-05.pine","D:\work\coding\trading\indicators\kv\EZZ-05.pine","","alertcondition;request.security","no","sr:alertcondition|request.security"
"EZZ-06.pine","D:\work\coding\trading\indicators\kv\EZZ-06.pine","","alertcondition;request.security","no","sr:alertcondition|request.security"
"EZZ-07.pine","D:\work\coding\trading\indicators\kv\EZZ-07.pine","suspicious-ellipsis","request.security","yes",""
"EZZ-08.pine","D:\work\coding\trading\indicators\kv\EZZ-08.pine","","request.security","yes",""
"PI-01.pine","D:\work\coding\trading\indicators\other\PI-01.pine","","alertcondition","yes",""
"PI-02.pine","D:\work\coding\trading\indicators\other\PI-02.pine","single-quote-odd(1);suspicious-ellipsis","","no","syntax:single-quote-odd(1)|suspicious-ellipsis"
"PI-03.pine","D:\work\coding\trading\indicators\other\PI-03.pine","","","yes",""
"PI-04.pine","D:\work\coding\trading\indicators\other\PI-04.pine","","","yes",""
"PI-05.pine","D:\work\coding\trading\indicators\other\PI-05.pine","","","yes",""
"PI-06.pine","D:\work\coding\trading\indicators\other\PI-06.pine","","alertcondition","yes",""
"PI-07.pine","D:\work\coding\trading\indicators\other\PI-07.pine","","alertcondition","yes",""
"PI-08.pine","D:\work\coding\trading\indicators\other\PI-08.pine","single-quote-odd(1)","","yes",""
"PI-09.pine","D:\work\coding\trading\indicators\other\PI-09.pine","single-quote-odd(1)","alertcondition","yes",""
"PI-10.pine","D:\work\coding\trading\indicators\other\PI-10.pine","","alertcondition","yes",""
"PI-11.pine","D:\work\coding\trading\indicators\other\PI-11.pine","","alertcondition","yes",""
"PI-12.pine","D:\work\coding\trading\indicators\other\PI-12.pine","single-quote-odd(1)","alertcondition","yes",""
"PI-13.pine","D:\work\coding\trading\indicators\other\PI-13.pine","suspicious-ellipsis","alertcondition;request.security","no","sr:alertcondition|request.security"
"PI-14.pine","D:\work\coding\trading\indicators\other\PI-14.pine","suspicious-ellipsis","alertcondition;request.security","no","sr:alertcondition|request.security"
"PI-15.pine","D:\work\coding\trading\indicators\other\PI-15.pine","single-quote-odd(1)","","yes",""
"PI-16.pine","D:\work\coding\trading\indicators\other\PI-16.pine","suspicious-ellipsis","","yes",""
"PI-17.pine","D:\work\coding\trading\indicators\other\PI-17.pine","","","yes",""
"PI-18.pine","D:\work\coding\trading\indicators\other\PI-18.pine","","alertcondition;request.security","no","sr:alertcondition|request.security"
"PICE-01.pine","D:\work\coding\trading\indicators\other\PICE-01.pine","single-quote-odd(13)","alertcondition","yes",""
"PICE-02.pine","D:\work\coding\trading\indicators\other\PICE-02.pine","single-quote-odd(13)","alertcondition","yes",""
"PICE-03.pine","D:\work\coding\trading\indicators\other\PICE-03.pine","single-quote-odd(9)","alertcondition","yes",""
"PICE-04.pine","D:\work\coding\trading\indicators\other\PICE-04.pine","single-quote-odd(13)","alertcondition","yes",""
"PILIT-01.pine","D:\work\coding\trading\indicators\other\PILIT-01.pine","","alertcondition;pine-v6","no","sr:alertcondition|pine-v6"
"PILIT-02.pine","D:\work\coding\trading\indicators\other\PILIT-02.pine","","alertcondition","yes",""
"SCALP-01.pine","D:\work\coding\trading\indicators\other\SCALP-01.pine","","alertcondition","yes",""
"SCALP-02.pine","D:\work\coding\trading\indicators\other\SCALP-02.pine","","alertcondition","yes",""
"SMBR-01.pine","D:\work\coding\trading\indicators\other\SMBR-01.pine","","alertcondition","yes",""
"SMBR-02.pine","D:\work\coding\trading\indicators\other\SMBR-02.pine","","alertcondition","yes",""
"SMPA-01.pine","D:\work\coding\trading\indicators\other\SMPA-01.pine","","alertcondition;request.security","no","sr:alertcondition|request.security"
"SMPA-02.pine","D:\work\coding\trading\indicators\other\SMPA-02.pine","curly-mismatch(7/8)","alertcondition;request.security","no","sr:alertcondition|request.security"
"SMPA-04.pine","D:\work\coding\trading\indicators\other\SMPA-04.pine","suspicious-ellipsis","alertcondition","yes",""
"SMPA-05.pine","D:\work\coding\trading\indicators\other\SMPA-05.pine","","alertcondition;request.security","no","sr:alertcondition|request.security"
"SMPA-06.pine","D:\work\coding\trading\indicators\other\SMPA-06.pine","curly-mismatch(9/13)","alertcondition;request.security","no","sr:alertcondition|request.security"
"STAI-01.pine","D:\work\coding\trading\indicators\other\STAI-01.pine","single-quote-odd(129)","","yes",""
"STAI-02.pine","D:\work\coding\trading\indicators\other\STAI-02.pine","curly-mismatch(7/8);single-quote-odd(129)","","no","syntax:curly-mismatch(7/8)|single-quote-odd(129)"
"TEST-01.pine","D:\work\coding\trading\indicators\other\TEST-01.pine","single-quote-odd(3);suspicious-ellipsis","request.security","no","syntax:single-quote-odd(3)|suspicious-ellipsis"
"TEST-02.pine","D:\work\coding\trading\indicators\other\TEST-02.pine","","alertcondition","yes",""
"TEST-03.pine","D:\work\coding\trading\indicators\other\TEST-03.pine","","request.security","yes",""
"TEST-04.pine","D:\work\coding\trading\indicators\other\TEST-04.pine","missing-version-marker","","yes",""
"VP-01.pine","D:\work\coding\trading\indicators\vp\VP-01.pine","","","yes",""
"VP-02.pine","D:\work\coding\trading\indicators\vp\VP-02.pine","","","yes",""
"VP-03.pine","D:\work\coding\trading\indicators\vp\VP-03.pine","single-quote-odd(203)","","yes",""
"VP-04.pine","D:\work\coding\trading\indicators\vp\VP-04.pine","","pine-v6","yes",""
"VPP-02.pine","D:\work\coding\trading\indicators\vp\VPP-02.pine","suspicious-ellipsis","request.security","yes",""
"VPP-05.pine","D:\work\coding\trading\indicators\vp\VPP-05.pine","suspicious-ellipsis","request.security","yes",""
"VPP-06.pine","D:\work\coding\trading\indicators\vp\VPP-06.pine","suspicious-ellipsis","request.security","yes",""
"VPP-07.pine","D:\work\coding\trading\indicators\vp\VPP-07.pine","suspicious-ellipsis","request.security","yes",""
"VPP-08.pine","D:\work\coding\trading\indicators\vp\VPP-08.pine","suspicious-ellipsis","request.security","yes",""
"SMPA-03.pine","D:\work\coding\trading\indicators\vsa\SMPA-03.pine","curly-mismatch(1/0);suspicious-ellipsis","alertcondition","no","syntax:curly-mismatch(1/0)|suspicious-ellipsis"
"VSA-01.pine","D:\work\coding\trading\indicators\vsa\VSA-01.pine","suspicious-ellipsis","alertcondition","yes",""
"VSA-02.pine","D:\work\coding\trading\indicators\vsa\VSA-02.pine","","alertcondition;pine-v6","no","sr:alertcondition|pine-v6"
"VSA-04.pine","D:\work\coding\trading\indicators\vsa\VSA-04.pine","","alertcondition;pine-v6","no","sr:alertcondition|pine-v6"
"WSH-01.pine","D:\work\coding\trading\indicators\wyckoff\WSH-01.pine","single-quote-odd(1)","request.security","yes",""
"WSH-03.pine","D:\work\coding\trading\indicators\wyckoff\WSH-03.pine","","alertcondition;request.security","no","sr:alertcondition|request.security"
"WSH-04.pine","D:\work\coding\trading\indicators\wyckoff\WSH-04.pine","single-quote-odd(1)","request.security","yes",""
"SMBR-03.pine","D:\work\coding\trading\strategies\SMBR-03.pine","single-quote-odd(17)","strategy-calls;strategy();request.security","no","sr:strategy-calls|strategy()|request.security"
